Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation
1,Spectrogram 1,1,35.28926818,36.115172785,1813.708,5820.738,0.8259,4007.03,-37.79,song
2,Spectrogram 1,1,77.24806021,78.204370806,1434.095,6706.503,0.9563,5272.408,-35.82,song
1,Spectrogram 1,1,3.680754712,4.386049028,2151.142,6073.814,0.7053,3922.671,-38.79,song
2,Spectrogram 1,1,10.711657424,11.483073082,2488.576,6073.814,0.7714,3585.237,-40.26,song
3,Spectrogram 1,1,18.381733111,19.131108321,2277.68,6073.814,0.7494,3796.134,-38.76,song
4,Spectrogram 1,1,26.690981771,27.462397429,2319.859,6031.634,0.7714,3711.775,-39.48,song
1,Spectrogram 1,1,2.898414175,4.005673523,2259.542,6229.008,1.1073,3969.466,-43.36,song
2,Spectrogram 1,1,11.365691542,12.603216695,2320.611,6351.145,1.2375,4030.534,-43.88,song
3,Spectrogram 1,1,24.359705654,25.43439855,2503.817,5801.527,1.0747,3297.71,-51.23,song
4,Spectrogram 1,1,28.397945629,29.602904331,2320.611,6229.008,1.205,3908.397,-45.36,song
5,Spectrogram 1,1,41.74961956,42.889445359,2259.542,6167.939,1.1398,3908.397,-44.8,song
1,Spectrogram 1,1,1.570740779,2.510316313,1627.592,7324.165,0.9396,5696.573,-39.24,song
3,Spectrogram 1,1,8.628315786,9.410100009,1472.583,6471.617,0.7818,4999.033,-38.49,song
1,Spectrogram 1,1,7.946967609,9.35811139,916.031,7145.038,1.4111,6229.008,-40.42,song
2,Spectrogram 1,1,53.236537548,54.870493505,458.015,7236.641,1.634,6778.626,-43.41,song
3,Spectrogram 1,1,58.361217595,59.846632101,732.824,7511.45,1.4854,6778.626,-42.49,song
4,Spectrogram 1,1,64.599958521,66.011102302,732.824,7419.847,1.4111,6687.023,-41.88,song
5,Spectrogram 1,1,67.94214116,69.501826392,458.015,7236.641,1.5597,6778.626,-38.89,song
6,Spectrogram 1,1,81.385142442,82.796286223,732.824,6961.832,1.4111,6229.008,-43.13,song
7,Spectrogram 1,1,92.67429269,94.159707196,549.618,6595.42,1.4854,6045.802,-40.57,song
8,Spectrogram 1,1,140.244820471,141.655964252,916.031,6412.214,1.4111,5496.183,-39.67,song
1,Spectrogram 1,1,8.192665568,9.412849801,1099.237,6045.802,1.2202,4946.565,-35.33,song
2,Spectrogram 1,1,14.318488454,15.513770969,1190.84,6045.802,1.1953,4854.962,-34.49,song
