"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","Avg Power Density (dB FS/Hz)","Annotation"
1,"Spectrogram 1",1,0.822463801,2.250953562,1465.649,7603.053,1.4285,6137.405,-36.93,"song"
2,"Spectrogram 1",1,38.049772704,39.30511219,1557.252,6961.832,1.2553,5404.58,-40.31,"song"
3,"Spectrogram 1",1,56.73695908,57.819148293,1190.84,7053.435,1.0822,5862.595,-40.74,"song"
4,"Spectrogram 1",1,67.861864183,69.203778806,1282.443,7786.26,1.3419,6503.817,-37.82,"song"
5,"Spectrogram 1",1,95.583856072,96.79590799,1465.649,6412.214,1.2121,4946.565,-39.06,"song"
6,"Spectrogram 1",1,106.275885489,107.531224976,1465.649,7786.26,1.2553,6320.611,-38.33,"song"
7,"Spectrogram 1",1,121.841068388,123.096407874,1465.649,6778.626,1.2553,5312.977,-38.19,"song"
8,"Spectrogram 1",1,181.877063881,182.915965525,1557.252,6229.008,1.0389,4671.756,-41.41,"song"
9,"Spectrogram 1",1,195.38278525,196.638124737,1557.252,6229.008,1.2553,4671.756,-42.21,"song"
10,"Spectrogram 1",1,216.537701445,217.706465794,1190.84,6045.802,1.1688,4854.962,-39,"song"
11,"Spectrogram 1",1,237.099296478,238.224773259,1190.84,6320.611,1.1255,5129.771,-42.21,"song"
